username, length of message
dmford, 14
dmford, 16
dmford, 16
dmford, 16
dmford, 16
dmford, 16
dmford, 16
dmford, 16
dmford, 16
dmford, 17
dmford, 17
dmford, 17
dmford, 17
dmford, 19
dmford, 19
dmford, 20
dmford, 20
dmford, 20
dmford, 20
dmford, 20
dmford, 20
dmford, 20
dmford, 21
dmford, 21
dmford, 21
dmford, 21
dmford, 21
dmford, 22
dmford, 23
dmford, 24
dmford, 25
dmford, 27
dmford, 27
dmford, 28
dmford, 28
dmford, 28
dmford, 28
dmford, 29
dmford, 29
dmford, 29
dmford, 29
dmford, 30
dmford, 31
dmford, 32
dmford, 32
dmford, 32
dmford, 33
dmford, 33
dmford, 33
dmford, 34
dmford, 34
dmford, 35
dmford, 37
dmford, 38
dmford, 38
dmford, 38
dmford, 38
dmford, 39
dmford, 40
dmford, 41
dmford, 42
dmford, 42
dmford, 42
dmford, 42
dmford, 43
dmford, 43
dmford, 44
dmford, 44
dmford, 45
dmford, 45
dmford, 46
dmford, 47
dmford, 47
dmford, 47
dmford, 48
dmford, 50
dmford, 50
dmford, 51
dmford, 51
dmford, 52
dmford, 52
dmford, 52
dmford, 54
dmford, 56
dmford, 59
dmford, 62
dmford, 66
dmford, 67
dmford, 68
dmford, 68
dmford, 68
dmford, 68
dmford, 68
dmford, 68
dmford, 68
dmford, 70
dmford, 70
dmford, 70
dmford, 72
dmford, 73
dmford, 74
dmford, 74
dmford, 75
dmford, 76
dmford, 81
dmford, 85
dmford, 85
dmford, 93
dmford, 98
dmford, 107
dmford, 131
dmford, 138
anthonye2007, 5
anthonye2007, 8
anthonye2007, 8
anthonye2007, 8
anthonye2007, 8
anthonye2007, 8
anthonye2007, 9
anthonye2007, 10
anthonye2007, 10
anthonye2007, 10
anthonye2007, 10
anthonye2007, 12
anthonye2007, 13
anthonye2007, 13
anthonye2007, 15
anthonye2007, 16
anthonye2007, 17
anthonye2007, 18
anthonye2007, 18
anthonye2007, 18
anthonye2007, 19
anthonye2007, 19
anthonye2007, 22
anthonye2007, 23
anthonye2007, 24
anthonye2007, 25
anthonye2007, 26
anthonye2007, 27
anthonye2007, 27
anthonye2007, 27
anthonye2007, 27
anthonye2007, 27
anthonye2007, 28
anthonye2007, 29
anthonye2007, 29
anthonye2007, 29
anthonye2007, 29
anthonye2007, 29
anthonye2007, 30
anthonye2007, 32
anthonye2007, 36
anthonye2007, 36
anthonye2007, 37
anthonye2007, 41
anthonye2007, 41
anthonye2007, 46
anthonye2007, 47
anthonye2007, 91
anthonye2007, 94
